symbol,session,gap_return,positive
AAPL,12,0.03688186236615005,True
AAPL,75,0.05794824776604818,True
AAPL,138,0.04309816960784539,True
AAPL,201,0.04181902741082708,True
AAPL,264,-0.054943456931516824,False
AAPL,327,-0.04094018805653527,False
AAPL,390,-0.05878048963125174,False
TSLA,31,0.04826191025176754,True
TSLA,94,0.06321535020975444,True
TSLA,157,-0.061521826510040685,False
TSLA,220,0.06339944793063397,True
TSLA,283,-0.06909028129717784,False
TSLA,346,-0.047813683353130854,False
MSFT,48,0.003895916232914253,True
MSFT,111,0.026351743412181088,True
MSFT,174,-0.009077146824129273,False
MSFT,237,-0.03185082249275073,False
MSFT,300,0.03951621958500149,True
MSFT,363,-0.0399378550350756,False
