symbol,session,gap_return,positive
AAPL,12,0.031537197002345634,True
AAPL,75,0.016879011828568383,True
AAPL,138,-0.010844465347767354,False
AAPL,201,-0.06767233276499968,False
AAPL,264,-0.02729514992938017,False
AAPL,327,-0.08312100248685683,False
AAPL,390,0.08287375778957631,True
AAPL,453,0.02608021150122259,True
AAPL,516,0.01788082467383253,True
AAPL,579,0.06416002257045522,True
AAPL,642,0.052346824080381035,True
AAPL,705,0.0599656911967428,True
AAPL,768,0.03830733642899482,True
AAPL,831,0.03910544890536289,True
AAPL,894,0.03511281464210531,True
AAPL,957,-0.01009635488873862,False
AAPL,1020,-0.029806587648365735,False
AAPL,1083,0.04345009398090229,True
AAPL,1146,0.0060940756854815405,True
AAPL,1209,-0.05046749144231759,False
AAPL,1272,0.011821589335317961,True
TSLA,31,-0.04235059900945329,False
TSLA,94,-0.11810064937353537,False
TSLA,157,-0.09144214841430344,False
TSLA,220,-0.09811511912782342,False
TSLA,283,0.044124095011115826,True
TSLA,346,-0.11297935005960594,False
TSLA,409,-0.05761684420297795,False
TSLA,472,0.05149293290481102,True
TSLA,535,-0.050014698989968014,False
TSLA,598,-0.050479095123056573,False
TSLA,661,0.0623072924955417,True
TSLA,724,-0.07909688398633442,False
TSLA,787,0.10637901090998686,True
TSLA,850,0.03161964032826043,True
TSLA,913,-0.022895867192288387,False
TSLA,976,0.050448380301577084,True
TSLA,1039,0.05855166274755215,True
TSLA,1102,-0.037803902773158225,False
TSLA,1165,-0.0942163633359,False
TSLA,1228,0.15306856634875884,True
TSLA,1291,-0.0845714013722512,False
MSFT,48,-0.03103330621126192,False
MSFT,111,-0.024164745005817445,False
MSFT,174,-0.028807454250408537,False
MSFT,237,-0.04356746528903007,False
MSFT,300,0.0406933902980771,True
MSFT,363,0.026066912329158327,True
MSFT,426,0.05225436694541758,True
MSFT,489,0.019829558481961468,True
MSFT,552,-0.042062517308458516,False
MSFT,615,0.00993646059770886,True
MSFT,678,0.03929255002766438,True
MSFT,741,0.009659423640497052,True
MSFT,804,0.03572783292536559,True
MSFT,867,0.03357016553403292,True
MSFT,930,-0.038739143003399965,False
MSFT,993,0.03945561798803,True
MSFT,1056,0.0485288222786093,True
MSFT,1119,0.0344420354779955,True
MSFT,1182,-0.017708914086554076,False
MSFT,1245,-0.030762888364354854,False
