signal_time,symbol,deposit,starting_equity,ending_equity,trade_taken,skip_reason,drawdown,stock_return,stock_pnl,option_contracts,option_pnl_after_fees,trade_pnl
2017-05-04 16:30:00+00:00,MSFT,0,2500.0,2553.7575759287893,True,,0.0,0.0215030303715157,53.75757592878925,0,0.0,53.75757592878925
2017-05-08 15:30:00+00:00,MSFT,0,2553.7575759287893,2565.173147663575,True,,0.0,0.0044701078294927,11.41557173478558,0,0.0,11.41557173478558
2017-05-09 13:30:00+00:00,MSFT,0,2565.173147663575,2564.1470784045096,True,,0.00040000000000006697,-0.0004,-1.0260692590654301,0,0.0,-1.0260692590654301
2017-05-11 15:30:00+00:00,MSFT,0,2564.1470784045096,2529.950824046495,True,,0.01373097315054983,-0.0133363076736192,-34.196254358014315,0,0.0,-34.196254358014315
2017-05-11 17:30:00+00:00,NVDA,0,2529.950824046495,2491.0353453720363,True,,0.028901675646755165,-0.0153819111045867,-38.91547867445906,0,0.0,-38.91547867445906
2017-05-15 13:30:00+00:00,NVDA,0,2491.0353453720363,2481.3699201224035,True,,0.03266961827411208,-0.0038800835434109,-9.665425249632925,0,0.0,-9.665425249632925
2017-05-16 16:30:00+00:00,MSFT,0,2481.3699201224035,2480.3773721543544,True,,0.033056550426802556,-0.0004,-0.9925479680489615,0,0.0,-0.9925479680489615
2017-05-18 13:30:00+00:00,NVDA,0,2480.3773721543544,2405.8284715559407,True,,0.06211848749967208,-0.0300554671379152,-74.54890059841365,0,0.0,-74.54890059841365
2017-05-18 18:00:00+00:00,TSLA,0,2405.8284715559407,2404.8661401673185,True,,0.06249364010467218,-0.0004,-0.9623313886223763,0,0.0,-0.9623313886223763
2017-05-24 13:30:00+00:00,TSLA,0,2404.8661401673185,2340.415828344434,True,,0.08761877128015927,-0.026799958112596,-64.45031182288456,0,0.0,-64.45031182288456
2017-05-24 17:30:00+00:00,TSLA,0,2340.415828344434,2488.1274197248426,True,,0.030035293332501767,0.0631133961715243,147.71159138040846,0,0.0,147.71159138040846
2017-05-25 13:30:00+00:00,TSLA,0,2488.1274197248426,2622.2407550867183,True,,0.0,0.0539013132119684,134.1133353618755,0,0.0,134.1133353618755
2017-05-26 15:00:00+00:00,TSLA,0,2622.2407550867183,2651.7533901551315,True,,0.0,0.0112547389140999,29.512635068413193,0,0.0,29.512635068413193
2017-05-29 13:30:00+00:00,AAPL,0,2651.7533901551315,2650.6926887990694,True,,0.00039999999999995595,-0.0004,-1.0607013560620526,0,0.0,-1.0607013560620526
2017-05-30 15:00:00+00:00,AAPL,0,2650.6926887990694,2600.354750383858,True,,0.01938288830405399,-0.0189904844978531,-50.33793841521128,0,0.0,-50.33793841521128
