symbol,session,gap_return,positive
AAPL,8,0.05681408331404127,True
AAPL,71,-0.014196148956933278,False
AAPL,134,-0.05016765590183089,False
AAPL,197,0.05347250569024885,True
AAPL,260,-0.01632857814186301,False
AAPL,323,-0.013935863327596991,False
AAPL,386,-0.017380670054737615,False
AAPL,449,0.026703096740626688,True
MSFT,15,0.0313541288453449,True
MSFT,78,0.028168383633539608,True
MSFT,141,0.022976953192831922,True
MSFT,204,-0.008767280544263435,False
MSFT,267,0.04299364190106047,True
MSFT,330,0.02257357365531735,True
MSFT,393,0.043904876092040614,True
TSLA,22,-0.048168307525291124,False
TSLA,85,-0.08814675813520262,False
TSLA,148,0.035682193116230866,True
TSLA,211,-0.08006911053122782,False
TSLA,274,-0.0382538887276313,False
TSLA,337,-0.08494055956390398,False
TSLA,400,-0.06430044854506187,False
NVDA,29,-0.0667787277228424,False
NVDA,92,-0.043859168637083515,False
NVDA,155,-0.10132280739311111,False
NVDA,218,0.01210855106383775,True
NVDA,281,0.057398269552100215,True
NVDA,344,-0.080058390389383,False
NVDA,407,0.07754150019591738,True
